Date Time, Deer Creek Penstock #1 Flow, Deer Creek Penstock #2 Flow, Deer Creek Spillway Flow, Deer Creek Salt Lake Aqueduct Flow, Deer Creek Power Diversion Flow, Provo River Bridal Veil Flow
2020-07-07 11:27:54, 254, 340, 0, -117, -477, 0
2020-07-07 10:57:57, 255, 338, 0, -116, -477, 0
2020-07-07 10:27:59, 256, 339, 0, -116, -480, 0
2020-07-07 09:57:56, 256, 338, 0, -116, -478, 0
2020-07-07 09:27:59, 255, 338, 0, -116, -477, 0
2020-07-07 08:57:55, 256, 336, 0, -116, -477, 0
2020-07-07 08:27:58, 258, 338, 0, -116, -481, 0
2020-07-07 07:57:54, 254, 340, 0, -116, -477, 0
2020-07-07 07:28:57, 258, 339, 0, -116, -481, 0
2020-07-07 06:57:59, 256, 341, 0, -116, -481, 0
2020-07-07 06:27:55, 256, 340, 0, -116, -480, 0
2020-07-07 05:57:58, 257, 339, 0, -116, -481, 0
2020-07-07 05:27:54, 258, 339, 0, -116, -482, 0
2020-07-07 04:57:57, 259, 338, 0, -116, -481, 0
2020-07-07 04:27:59, 256, 338, 0, -116, -478, 0
2020-07-07 03:58:56, 260, 339, 0, -116, -482, 0
2020-07-07 03:27:58, 258, 339, 0, -116, -482, 0
2020-07-07 02:57:54, 257, 342, 0, -116, -483, 0
2020-07-07 02:27:56, 255, 339, 0, -116, -478, 0
2020-07-07 01:57:59, 256, 337, 0, -117, -476, 0
2020-07-07 01:27:56, 256, 338, 0, -116, -478, 0
2020-07-07 00:58:59, 256, 338, 0, -117, -478, 0
2020-07-07 00:28:56, 254, 337, 0, -117, -474, 0
2020-07-06 23:57:51, 255, 337, 0, -116, -476, 0
2020-07-06 23:27:54, 255, 338, 0, -116, -477, 0
2020-07-06 22:58:57, 258, 336, 0, -116, -479, 0
2020-07-06 22:27:59, 258, 336, 0, -115, -478, 0
2020-07-06 21:58:56, 257, 337, 0, -115, -478, 0
2020-07-06 21:27:58, 257, 336, 0, -115, -477, 0
2020-07-06 20:57:49, 258, 336, 0, -116, -478, 0
2020-07-06 20:28:59, 255, 335, 0, -115, -475, 0
2020-07-06 19:57:55, 255, 339, 0, -115, -479, 0
2020-07-06 19:27:58, 257, 337, 0, -116, -479, 0
2020-07-06 18:58:00, 256, 337, 0, -115, -478, 0
2020-07-06 18:27:57, 257, 340, 0, -116, -480, 0
2020-07-06 17:57:54, 256, 339, 0, -115, -480, 0
2020-07-06 17:27:56, 258, 337, 0, -116, -479, 0
2020-07-06 16:57:59, 256, 341, 0, -116, -481, 0
2020-07-06 16:27:56, 254, 341, 0, -115, -481, 0
2020-07-06 15:57:59, 255, 342, 0, -116, -482, 0
2020-07-06 15:27:55, 257, 341, 0, -115, -483, 0
2020-07-06 14:57:58, 258, 344, 0, -116, -485, 0
2020-07-06 14:27:54, 254, 338, 0, -116, -477, 0
2020-07-06 13:57:58, 254, 338, 0, -115, -477, 0
2020-07-06 13:27:54, 256, 338, 0, -116, -479, 0
2020-07-06 12:58:57, 256, 338, 0, -116, -478, 0
2020-07-06 12:27:59, 254, 328, 0, -105, -477, 0
2020-07-06 11:57:56, 255, 329, 0, -104, -480, 0
2020-07-06 11:27:59, 255, 326, 0, -101, -480, 0
2020-07-06 10:57:55, 256, 328, 0, -101, -483, 0
2020-07-06 10:27:59, 256, 209, 0, -106, -360, 0
2020-07-06 09:57:55, 257, 338, 0, -105, -490, 0
2020-07-06 09:27:58, 258, 338, 0, -102, -494, 0
2020-07-06 08:57:54, 259, 336, 0, -103, -491, 0
2020-07-06 08:28:57, 254, 341, 0, -105, -490, 0
2020-07-06 07:57:53, 255, 337, 0, -104, -488, 0
2020-07-06 07:27:57, 255, 341, 0, -103, -493, 0
2020-07-06 06:57:53, 254, 338, 0, -105, -488, 0
2020-07-06 06:28:57, 255, 326, 0, -104, -477, 0
2020-07-06 05:57:59, 258, 327, 0, -95, -489, 0
2020-07-06 05:28:56, 254, 330, 0, -94, -491, 0
2020-07-06 04:57:58, 256, 327, 0, -94, -489, 0
2020-07-06 04:27:55, 254, 325, 0, -95, -485, 0
2020-07-06 03:58:58, 253, 325, 0, -95, -483, 0
2020-07-06 03:28:00, 256, 326, 0, -95, -487, 0
2020-07-06 02:57:56, 252, 328, 0, -94, -485, 0
2020-07-06 02:28:54, 254, 327, 0, -94, -487, 0
2020-07-06 01:57:56, 255, 328, 0, -94, -489, 0
2020-07-06 01:27:58, 253, 326, 0, -95, -485, 0
2020-07-06 00:58:56, 252, 328, 0, -95, -484, 0
2020-07-06 00:28:52, 251, 328, 0, -94, -485, 0
2020-07-05 23:57:54, 255, 328, 0, -94, -489, 0
2020-07-05 23:28:58, 252, 328, 0, -94, -487, 0
2020-07-05 22:57:54, 255, 326, 0, -94, -487, 0
2020-07-05 22:27:57, 254, 329, 0, -94, -489, 0
2020-07-05 21:59:00, 254, 328, 0, -95, -487, 0
2020-07-05 21:27:56, 253, 329, 0, -95, -487, 0
2020-07-05 20:58:48, 254, 329, 0, -94, -490, 0
2020-07-05 20:27:56, 255, 328, 0, -94, -489, 0
2020-07-05 19:57:58, 254, 328, 0, -94, -488, 0
2020-07-05 19:27:55, 251, 329, 0, -94, -485, 0
2020-07-05 18:58:58, 250, 333, 0, -95, -488, 0
2020-07-05 18:27:54, 256, 340, 0, -94, -502, 0
2020-07-05 17:57:57, 255, 340, 0, -95, -501, 0
2020-07-05 17:28:00, 256, 342, 0, -95, -503, 0
